ACCOUNT_CLOSE_DATE DATE                                                         
ACCOUNT_CLOSE_PEND_DT DATE                                                      
ACCOUNT_LOCKED CHAR                                                             
ACCOUNT_NAME VARCHAR2                                                           
ACCOUNT_NUMBER VARCHAR2                                                         
ACCOUNT_OPEN_DATE DATE                                                          
ACCOUNT_STATUS VARCHAR2                                                         
ACCOUNT_STATUS_DATETIME DATE                                                    
ACCOUNT_TYPE VARCHAR2                                                           
ACC_LOCKED_DATETIME DATE                                                        
ANONYMOUS_ACCOUNT CHAR                                                          
APPLICATION_NUMBER VARCHAR2                                                     
BANKRUPTCY_DATE DATE                                                            
BKTY_CASEID VARCHAR2                                                            
BKTY_DICHG_DATE DATE                                                            
BKTY_DISMISS_DATE DATE                                                          
BKTY_FILE_DATE DATE                                                             
BKTY_NOTIFY_BY VARCHAR2                                                         
CAST_ACCOUNT_FLAG CHAR                                                          
CHALLENGE_ANSWER VARCHAR2                                                       
CHALLENGE_QUESTION VARCHAR2                                                     
CHARGEBACK_RELEASED_DT DATE                                                     
COLLECTION_AGENCY VARCHAR2                                                      
COMPANY_NAME VARCHAR2                                                           
CORRESPONDENCE_DEL_MODE VARCHAR2                                                
COURT_FLAG CHAR                                                                 
CREATED DATE                                                                    
CREATED_BY VARCHAR2                                                             
DBA VARCHAR2                                                                    
DECEASED CHAR                                                                   
DO_NOT_CALL CHAR                                                                
EMAIL_ADDRESS VARCHAR2                                                          
EXPIRATION_DATE DATE                                                            
FEIN_NUMBER NUMBER                                                              
IS_POSTPAID CHAR                                                                
IS_REGISTERED VARCHAR2                                                          
IS_SURVEY_OPTED CHAR                                                            
LANGUAGE_PREFERENCE VARCHAR2                                                    
LAST_INVOICE_DATE DATE                                                          
LAST_UPD DATE                                                                   
LAST_UPD_BY VARCHAR2                                                            
MOBILE_ALERTS VARCHAR2                                                          
MOTHERS_MAIDEN_NAME VARCHAR2                                                    
NSF_LOCK_RELEASED_DT DATE                                                       
OUTBOUND_DAILER VARCHAR2                                                        
OWNER_TYPE VARCHAR2                                                             
PIN NUMBER                                                                      
REBILL_AMOUNT NUMBER                                                            
REBILL_THRESHOLD NUMBER                                                         
SECONDARY_EMAIL_ADDRESS VARCHAR2                                                
SOURCE_SYSTEM VARCHAR2                                                          
STATEMENT_DELIVERY_MODE VARCHAR2                                                
STATEMENT_PERIOD VARCHAR2                                                       
SUSPENDED_DATE DATE                                                             
TAX_EXEMPTION_ID VARCHAR2                                                       
VIDEO_ACCT_STATUS NUMBER                                                        
